ilot;libelle_ilot;type_ilot;optim;type_bandeau
UTP;ui tampon pour ca rs;ETL;0;R
Q82;STOCKAGE DES QRL DU TARN ET GARONNE;ETL;0;CE
V09; SADTF7 R10 ARIEGE;ETL;0;C
ET0;ATTENTE RAPPEL CLIENT;ETL;0;CE
Q12;STOCKAGE DES QRL AVEYRON;ETL;0;CE
RPB;ui re poubelle;RE;0;C
CPL;COMPLETEL;RE;0;C
EXP;RECEPTION EXP FTH MidiPy;FT;0;C
PFS;BL/ SADTF7 POI FIBRE;ETL;0;CE
TBN;BL/ SCOTF7 TREIN BL NORD;ETL;0;CE
Y3S; SADTF7 SAV TOULOUSE SUD ;ETL;0;CE
Y65; SADTF7 SAV HAUTES PYRENEES;ETL;0;CE
R2S;R02 SADTF7 Zone SUD;ETL;0;CE
09L;LL + TDSL ARIEGE;FT;0;CE
OPS;ui tampon opit ml suivi RAI;FT;0;CE
S8A;NTIC-81 TARN;FT;1;CE
V81; SCOTF7 R10 TARN;ETL;0;C
V82; SCOTF7 R10 TARN ET GARONNE;ETL;0;C
C65;BL/ FT POUR 65-32-31S;FT;0;CE
CQC;UI Tampon QRL Analy;ETL;0;CE
PUM;MOBILIER PUB AVIP SO;SE;0;
CBL;UI nat:CABLE BL MP FLASH Resea;ETL;0;R
ORA;orange production;FT;0;R
QRN;BL/PEU URR POUR ETL;ETL;0;CE
RAM;HO/ RE HABITE FT - RAM;RE;0;C
S8C;ntic tarn castres;FT;1;CE
CPN;COMPLETEL Zone Nord SCOTF7;ETL;0;CE
V12; SCOTF7 R10 AVEYRON;ETL;0;C
PUN;MOBILIER PUB AVIP SO;SE;0;
HR8;RS/miroir MONTAUBAN;FT;0;R
SSS;UI de travail SS;SE;0;
VT9;RS/exploitation EVT_TLSE;FT;0;R
AC7;BL/r‚o GERS;FT;0;R
HQC;T et Gar QRL AQC CA;ETL;0;CE
HR9;RS/exploitation MONTAUBAN;FT;0;R
P46; SCOTF7 POI LOT;ETL;0;CE
R3N;JARRETIERAGE TOULOUSE NORD;FT;1;CE
TBS;BL/ SADTF7 TREIN BL SUD;ETL;0;CE
AC8;RS/miroir GERS;FT;0;R
GTC;REPONSE AUX AS URR;FT;0;CE
S31;NTIC SUD 31;FT;0;CE
DMS;F ORANGE UI Releve R02TEL;RE;0;C
FIA;ui fiabilys;FT;0;CE
S32;NTIC-32 GERS;FT;1;CE
AC9;RS/exploitation GERS;FT;0;R
TE7;RS/r‚o ALBI_CASTRES;FT;0;R
CPS;COMPLETEL Zone Sud SADTF7;ETL;0;CE
MQC;LOT QRL AQC /CA millau;ETL;0;CE
RVU;garage rdvuniq-pari17-entreprise;ETL;0;CE
GSP;ASP;SE;0;
ESC;Analyse prod scopel;ETL;0;C
FC8;RS/miroir FOIX;FT;0;R
ROU;HE/ SCOTF7 RE HABITE - COU;RE;0;C
TE8;RS/miroir ALBI_CASTRES;FT;0;R
TPX;PABX toulouse;FT;0;CE
B31;BL/ SADTF7 31SUD;ETL;0;CE
O09;Ilot Reception OPO Opit 09/31S;ETL;0;CE
RJA;HE/ SCOTF7 RE HABITE - JAU;RE;0;C
TE9;RS/exploitation ALBI_CASTRES;FT;0;R
FC9;RS/exploitation FOIX;FT;0;R
AVT;ATT RETOUR VT URR;SE;0;
B32;BL/ SADTF7 GERS;ETL;0;CE
R3S;JARRETIERAGE TOULOUSE SUD;FT;1;CE
RCA;HE/ SADTF7 RE HABITE - CAP;RE;0;C
81L;LL + TDSL TARN;FT;0;CE
R65;R02 renfort RSE du 65;FT;1;CE
E16;Prod FTTH E16 euro2016;FT;0;C
RQC;rodez qrl analyse;ETL;0;CE
O81;Ilot Reception OPO Opit 81;ETL;0;CE
31P;Prod Entreprise TLSE N/S;FT;0;CE
O82;Ilot Reception OPO Opit 82;ETL;0;CE
F3N;Fibre PROD#R - SCOTF7 - TLSE N;ETL;0;CE
FOR;UI pour migrations sfr c3p;FT;0;C
O12;Ilot Reception OPO Opit 12;ETL;0;CE
RS1;Accueil CACER UIMP;FT;0;R
VDS;attente vdsl en retrofit;FT;0;C
9CS;ui tampon recup 9 cegetel;FT;0;CE
BTN;CIPAETH Zone Nord SCOTF7;ETL;0;CE
PPC;UI FICTIVE CLOTURES ROA PR FTH;FT;0;C
RBO;HE/ SCOTF7 RE HABITE - BON;RE;0;C
31S;SAV Entreprise TLSE N/S;FT;0;CE
38T;RS/miroir TRANS;FT;0;R
PBC;UI de releve PBC;FT;0;CE
Y09; SADTF7 SAV ARIEGE;ETL;0;CE
46L;LL + TDSL Lot;FT;0;CE
HPX;PABX tarn et garonne;FT;1;CE
M02;MIGRATION DEGROUPAGE;FT;0;C
ACC;der co reseau struct;ETL;0;R
INP; INEOMP cablage immeuble neuf;ETL;0;R
MBT;UI Poubelle;RE;0;C
Y81; SCOTF7 SAV TARN;ETL;0;CE
C81;BL/ FT TARN;FT;0;CE
F3S;Fibre PROD#R - SADTF7 - TLSE S;ETL;0;CE
F65;Fibre PROD 65 - Htes Pyrenees;FT;0;CE
FIL;CA GD/Filtrage Superviseur;FT;0;CE
TLB;QRL ALBI;FT;0;CE
Y82; SCOTF7 SAV TARN ET GARONNE;ETL;0;CE
32L;LL + TSL Gers;FT;0;CE
BTS;CIPAETH Zone Sud SADTF7;ETL;0;CE
C82;BL/ FT TARN ET GARONNE;FT;0;CE
P3N; SCOTF7 POI TOULOUSE + 31 NORD;ETL;0;CE
Q31;STOCKAGE DES QRL DU 31 SUD;ETL;0;CE
RPU;HE/ SADTF7 RE HABITE - PUR;RE;0;C
TRN; SCOTF7 TREIN LT ZONE NORD;ETL;0;C
Y12; SCOTF7 SAV AVEYRON;ETL;0;CE
Q32;STOCKAGE DES UI DU GERS;ETL;0;CE
QUA;QUARANTAINE REGROUP;ETL;0;CE
C12;BL/ FT AVEYRON;FT;0;CE
82L;LL + TDSL T et G;FT;0;CE
S46;NTIC LOT;FT;1;CE
