iloCodeIlot;iloLibelleIlot;iloOptim;iloCodeEtablissement;iloCodeBase;iloInfo;iloInfoAdmin;iloDateCreation;iloDateModif;iloDateSuppression;used;sedIdServDem;prsIdProdSav;dacIdDomAct;coIdCompetence;siIdSite;enIdEntreprise;fiIdFiltrage;tiIdTypeIot;banIdBandeau
F8C;production et sav ftth tarn;0;TF7;T1;;;;22/03/2016;;Oui;CA GD;PROD / SAV;GD;FTTH;;OBS-SCO;;FT;CE
F8M;maintenance ftth 82;0;TF7;T1;;;;22/03/2016;;Oui;CA GD;SAV;GD;FTTH;;OBS-SCO;;FT;CE
F8P;production ftth 82;0;TF7;T1;;;;22/03/2016;;Oui;CA GD;PROD;GD;FTTH;;OBS-SCO;;FT;CE
FC8;RS/miroir FOIX;0;TF7;T1;ilot de stockage lié à FC9;;;22/03/2016;;Oui;CACER;PROD;RS;;;;;FT;R 
FC9;RS/exploitation FOIX;0;TF7;T1;activité RS dpt 09;;;22/03/2016;;Oui;CACER;PROD / SAV;RS;;;;;FT;R 
FCN;Fibre CLGGCI - SCOTF7;0;TF7;T1;Réceptionne les CLGGCI Fibre pour SCOP créés par le PPC FTTH;;;22/03/2016;;Oui;PPC Fibre;;;;;SCOTF7;;ETL;CE
FCS;Fibre CLGGCI - SADTF7;0;TF7;T1;Réceptionne les CLGGCI Fibre pour SADE créés par le PPC FTTH;;;22/03/2016;;Oui;PPC Fibre;;;;;SADTF7;;ETL;CE
FDN;Fibre Debord SCOTF7 TLS N;0;TF7;T1;Débordement de l'îlot F3N si 30 equipes est insuffisant sur F3N;;;22/03/2016;;Oui;CA GD;PROD;;;;SCOTF7;;ETL;CE
FDS;Fibre Debord SADTF7 TLS S;0;TF7;T1;Débordement de l'îlot F3S si 30 equipes est insuffisant sur F3S;;;22/03/2016;;Oui;CA GD;PROD;;;;SADTF7;;ETL;CE
FIA;ui fiabilys;0;TF7;T1;1 tech à Darraux (09-31S) et 1 Tech à Anne-Archard (TLSE). La création des EXP AQD est faite automatiquement, les tech sont mis par les Responsables d'équipe. La communication et la relève sont faites automatiquement aussi.;CA GD ? avec tech gd ariège;;22/03/2016;;;;;;;;;;FT;CE
