Centre;libelle;zones;CentreOrigine;typeNRA;BlocageR2;InfoR2;Numero;Rue;CodePostal;IlotRepHab;CoordGPS-Lambert2-COX;CoordGPS-Lambert2-COY
PAV;PAVIE;ZDD MAR;;CL;;;;PL MAIRIE;32307;;458966;1846891
HON;HONOR-DE-COS L';DDI LER;;CL;;;;BREIL;82076;;521563;1903103
QYP;QUERCYPOLE;SUQ;BS7;HD;;;;LA VITARELLE ET LE SUQUET;46051;;568284;1957800
SEP;SEPTFONDS;DDI DAR CAR;;CL;;;;PL PETRONILLE CANTECOR;82179;;542522;1908767
P2E;NRA ZO PENCHENERY;PEN;SID;ZO;;;;CHE PENCHENERY;81065;;594391;1844047
COM;COMTAL;DDI PRA QSA ROQ SCY TAR ZAC SEL MIM CRO SFE CAR GIN OUS BAJ SRA EMB LAL BOR MON MAR JAU BDR BOS PBA BUA GAR ROS LAG MAI GAZ GEN FON CAP ARS RAM ETO CAN SMA SFI VAL;;CAA;;;5;AV MONTPELLIER;12202;;619229;1928250
ASG;MAS-GRENIER;DDI;;CL;;;;AV VERDUN;82105;;508207;1876905
SVN;SAINT AVENTINS;DDI BAU CRA LOU;;CL;;;;STATION DE SUPERBAGNERES;31470;;455741;1753420
8YL;CAYLUS PRAT SARRAT;LAS;;CL;;;;PRAT SARRAT;82038;;550626;1916587
8IE;SAUCLIERES;SAU;SJB;HD;;;;LE BOURG;12260;;682825;1886662
8GY;TOURNEFEUILLE GAY;PLA PLR PLB PLS;;CL;;;8;RUE PETIT. TRAIN;31557;;517678;1842167
KSI;MONCASSIN;MCA;SME;MED;;;;LOUMAC;32263;;448372;1829489
BZD;BARBAZAN;ZDD LOU BAV FOR PIE;;CL;;;;ALL CHATEAU;65062;;419813;1802676
ROQ;ROQUEFORT;DDI LAU TOU VPJ;;CL;;;6;AV FRANCOIS GALTIER;12203;;652622;1886181
FAU;FAU LE;DDI CAT COR SNA BIO;;CL;;;;CHE FOULQUIE;82121;;524199;1885338
DEN;7-DENIERS;XDD XND NDA NTA NTC NPC NTJ NTH NDZ NTP NTE JOB NCA CAP;;CL;;;55;RUE SPORTS;31555;;525522;1846310
MNZ;MONDAVEZAN;DDI;;CL;;;;TAPIAU;31349;;494182;1805043
2RN;BIRAN;BIR;ORD;MED;;;;LE VILLAGE;32054;;444027;1856814
CON;CONDOM;ZDD JAU LAN CAR PAG LIB PYR JAC HON ROQ JCB MAU BER GRI POV SEL ZIN GAR TES AUV GAM VIC;;CL;AUV/R2;AUV/maul6581 CREATION NRAMED KTL EN COURS;15;AV ANCIENS COM AFN ET TOE;32107;;442754;1886059
HOP;HOPITAL;DDI;;CL;;;;L HOPITAL;46132;;557276;1972174
BZE;BEZERIL;ZDD LAH NLH POL;;CL;;;;AU VILLAGE;32051;;481841;1839086
ARR;ARREAU;ZDD CAD BNE;;CL;;;18;QUART LA NESTE;65031;;438054;1768802
NUX;MONTPEYROUX;TES;NAY;HD;;;;TESQ;12156;;632055;1959171
RPH;HUPARLAC;HUP;LAG;HD;;;;LE BOURG;12116;;633788;1968051
SER;SERRES-SUR-ARGET;COU BEN BRA CAZ BUR DDI;;CL;;;;SERRES VILLAGE;09293;;533170;1774324
LZG;LEZIGNAN;VIL ANC JAR ESC ARC ZDD;;CL;;;;VILLAGE;65271;;409540;1790810
KSJ;CASSUEJOULS;CAS;ALP;MED;;;;LE BOURG;12058;;637372;1969258
VIL;VILLEFRANCHE;GAR XVA XVE XVM XVO XVC REN VUL VOR VGE XDD JDE;;CL;;;12;AV FONTASSE;31582;;549863;1821773
EMB;EMBATS;ZDD TUF BON BIC;;CL;;;;A EMBATS;32013;;453588;1850353
KBN;CABANES 12;CAB;NAG;MED;;;;LA CROIX VIEILLE;12041;;597778;1909578
VIM;VIMENET;DDI COU;;CL;;;;LES TASSIERES;12303;;646466;1934109
SVP;SALVETAT PEYRALES LA;DDI TAY PRA;;CL;;;;LE BOURG;12258;;589147;1913077
PU8;PUYCASQUIER;ZDD CRA PIS TOU MVT AUG;;CL;;;;AU VILLAGE;32335;;471624;1862015
ARS;BLARS;DDI;;CL;;;;LE BOURG;46031;;550678;1951761
PAY;PAYRAC;DDI AIR LOU CAM;;CL;;;;LE BOURG;46215;;531668;1978227
RA8;RABASTENS;ZDD AYG SAR MDT SEG;;CL;;;;RUE ST MICHEL;65375;;422625;1822877
SH5;SEILH;5SD;;CL;;;;ALL EMILE ADER.;31541;;520705;1855240
COQ;CONQUES;DDI;;CL;;;;LE BOURG;12076;;604687;1955360
YLR;ISLE ARNE;IAR;AUB;MED;;;;AU VILLAGE;32157;;474232;1847582
ACC;CAUSSADE COUDERCS;COU;CAU;HD;;;;LES COUDERCS;82037;;537441;1902849
VIN;VINTROU LE;DDI RIA;;CL;;;;LE PLO;81321;;609587;1836395
USN;VILLENEUVE LECUSSAN;LEC VIL BAR DDI;;CL;;;;MOULIN;31586;;451614;1796642
NVP;NAUVIALE;NAU;SCY;MED;;;;LE PONT;12171;;607186;1946191
8ZE;LACAZE;LAC;VIA;HD;;;;BOURG;81125;;614947;1859712
NUZ;NUZEJOULS;DDI;;CL;;;;LE BOURG;46211;;524095;1949121
NES;ST JEAN LAGINESTE;DDI MAY;;CL;;;;LE BOURG;46339;;561759;1980472
SET;ST ETIENNE DE TULMONT;DDI COU;;CL;;;;CROIX SEVERAC;82161;;529709;1893775
KSL;PERLES ET CASTELET;PER;AXT;MED;;;;PERLES;09228;;554736;1748948
LYS;ST LYS;NDD NAD NHD NJD NFD NMD NND NID NOD NAA NNA NSD NAF;;CL;;;14;RUE 11 NOVEMBRE 1918;31499;;505919;1835330
HOS;HOSPITALET-DU-LARZAC L';DDI GRU;;CL;;;;LE BOURG;12115;;668693;1886217
FAY;FAYET;DDI SYL;;CL;;;;LE BOURG;12099;;649275;1867494
UTE;AUTOIRE;AUT;STC;HD;;;;LE BOURG;46011;;559149;1983729
VIO;VIOZAN;SAU LAG OST PON AUJ ELI ZDD;;CL;;;;AU VILLAGE;32466;;448748;1823208
8YP;SAINT CYPRIEN;CYP;MCU;HD;;;;LE BOURG;46262;;514424;1923719
S4X;SAUX;ADE ZDD EXU RIB;;CL;;;;RUE AMPERE;65286;;407278;1794458
COR;CORDELIERS;ZDD LIB MOL GAR HUG PON TRI ARA ROQ PYR MOR EGA VIG PEN BET DUR PAL CAS LEC BAR BER;;CL;;;10;PL JEAN DAVID;32013;;458472;1851139
ASK;ASSAC;ASS;TRE;HD;;;;BOURG;81019;;607990;1886093
SGA;ST GERMAIN DU BEL AIR;DDI;;CL;;;;LA CAPELLETTE;46267;;529513;1961667
BYR;BRAGAYRAC;DDI SAB NKD;;CL;;;;RTE TOULOUSE;31087;;497636;1832172
LIM;LIMOGNE;DDI LUG;;CL;;;;LE BOURG;46173;;554283;1932873
1KU;ASCOU;ASC;AXT;MED;;;;LE VILLAGE;09023;;563788;1746789
MOT;LAMOTHE FENELON;NAD DDI MAS MAR CAM;;CL;;;;LE BOURG;46152;;527041;1981894
DER;VALDERIES;DDI AND SAU;;CL;;;;BOURG;81306;;592188;1890025
IES;BOUSSENAC ESPIES;ESP;MAS;MED;;;;ESPIES;09065;;;
CPI;COUPIAC;DDI VIL;;CL;;;;LE BOURG;12080;;619837;1883493
SH8;SEICH;ZDD;;CL;;;;VILLAGE;65416;;448622;1781363
SEV;SEVERAC LE CHATEAU;DDI SGA MAS PAS ROQ LPR;;CL;;;;RUE DE LA PETITE COTE.;12270;;658234;1924852
MOU;MOULIN-MAGE;DDI LAB TRI;;CL;;;;BOURG;81188;;637669;1856716
MB0;MONBARDON;MON;MT7;MED;;;;LE VILLAGE;32260;;468377;1821021
ARV;ARVIEU;DDI;;CL;;;;LE BOURG;12011;;625906;1909845
CA8;CADOURS;KDD KAD KLD KDA;;CL;;;5;RUE DES JARDINS;31098;;496184;1859221
GIM;GIMONT;ZDD CAH NOR ESC MON MAR DAU LAF;;CL;;;;BD NORD;32147;;481801;1848587
PCH;PECHBUSQUE;XDD VEG VMO VCA VRF;;CL;;;;CHE DE LACANAL;31411;;528941;1835231
KCH;CHELAN;CHE;PAN;MED;;;;AU VILLAGE;32103;;454484;1817541
IGA;ARTIGAT;ART;PAI;MED;;;;RTE TOULOUSE;09019;;;
ZSR;LASSUR;LAS;CAB;MED;;;;LE VILLAGE;09159;;;
BZJ;BEZUES BAJON;BEZ;PAN;MED;;;;LE DUCASSE;32053;;459379;1822665
CA9;CAMBOUNES;DDI FON;;CL;;;;BOURG;81053;;608201;1842626
ARW;ARROUEDE;ARR;PAN;MED;;;;AU VILLAGE;32010;;457940;1819272
YNA;SAINT SAUVY;SAU;AUB;HD;;;;PONT ARRATZ;32406;;477966;1855522
SVT;SAUVETERRE;DDI LOO ILH;;CL;;;;HAMEAU DE BRUNCAN;31535;;463674;1782689
8YR;ST ORENS CAYRAS;FAA FAB FAC TRA;;CL;;;;BD CATALA;31506;;533712;1841192
PTF;VILLENEUVE SEPTFONDS;SEP;VVE;HD;;;;SEPTFONDS;12301;;575165;1941620
HOU;LE HOUGA;ZDD PER TAV MOR LUP MAG;;CL;;;;PEYRAN;32155;;396734;1867044
MR8;MARSAN;ZDD NOU LAH ROQ LUS;;CL;;;;AU VILLAGE;32237;;469587;1851845
RQC;ROQUECOURBE;DDI BAT CRO TIL LAV CAZ;;CL;;;48;AV LATTRE DE TASSIGNY;81227;;596324;1852020
IVS;BIVES;BIV;TOC;MED;;;;AU VILLAGE;32055;;476709;1870996
FRY;FRAYSSINET LE GELAT;DDI CAS GOU TEZ CAP POM;;CL;;;;LE BOURG;46114;;506942;1954158
ZCL;SENAILLAC LAUZES;SEA CAN;LBM;HD;;;;LE BOURG;46303;;545870;1955638
SGD;ST GAUDENS;DDI SOL MAN TOU ARR BIR CAZ COU FOC FOU GAR LAB LYC OLY STA TAS MAI MIR RIC PUJ PRE RIE VAL VOL MAR BAG NER GEN LAG PRO BOU CEL BOR RES NOR ORE LIE SPL;;CAA;;;17;RUE INDEPENDANCE;31483;;468094;1790862
8ZI;FROUZINS;QUD QXD QTR;;CL;;;9;AV GASCOGNE;31203;;517593;1835611
8YS;SEVEYRAC;SEV;MCL;HD;;;;SEVEYRAC;12254;;610960;1936558
PBT;CAP DEBAT;1AD;BE9;HD;;;;RTE TOULOUSE;31065;;506668;1821133
PE6;PERGAIN TA;ZDD;;CL;;;;BOUZIQUE;32311;;459595;1896864
ELR;LE ROC;ROC;MOT;HD;;;;LE BOURG;46239;;529163;1985412
LL2;LALOURET L;SAR CAR LOD IGN MAR LAR DDI;;CL;;;;VILLAGE;31268;;466956;1799521
RPN;PRUINES;PRU;SCY;HD;;;;LE BOURG;12193;;613365;1947679
OLT;ST COME D'OLT;DDI VIL;;CL;;;;LE BOURG;12216;;637245;1946086
P2M;PAMPELONNE;DDI BAR;;CL;;;;LE BOURG;81201;;592697;1902619
COU;MONTAUBAN-COURBET;DDI BAS CHR BRI MCH PIS PTY SAL VIL BOR CET ALE BAL ARD ALL ALB BAN BEA BES BIR BRO CAR CLA CHA COS DEL FOU FOC GAR GAM GUE GUI OCC PAN PAT PER PHI PCE POU RAM HER OIS VIG LAL LAG LYC MGA MAR MAM JMO MIR MOL MOU SLO SAP SMI TEM TIG PLA COM FOR AGR CRE JON IRI ACT BAG TRE PRE CAP THE LEO SAU;;CAA;;;615;BD ALSACE LORRAINE;82121;ROU;522205;1891255
P3C;PIC    ;IND;PAM;HD;;;;AV RIJOLLE;09225;;541617;1791293
XVV;STE CROIX VOLVESTRE;STC;ME9;MED;;;;VILLAGE;09257;;505020;1791766
GL2;GALGAN;LAL DDI;;CL;;;;LE BOURG;12108;;587629;1944927
PDA;PRADES D'AUBRAC;DDI BEL;;CL;;;;LE BOURG;12187;;648157;1948561
CPL;CAPOULET;SIG LER ARQ VOI JUN DDI;;CL;;;;CAPOULET VILLAGE;09077;;536592;1753990
ATE;GRATENS;DDI;;CL;;;;LE VILLAGE;31229;;500635;1813990
USS;USSEL;DDI CRA LMO FIA;;CL;;;;COURTY;46323;;534639;1954974
SGE;STE GENEVIEVE SUR ARGENCE;DDI ARG ORL RIV GRA PRO;;CL;;;;AV MECANIQUE;12223;;633451;1977730
JLT;SAINTE JULIETTE SUR VIAUR;SJU;CT9;MED;;;;LE BOURG;12234;;613248;1913069
FBS;FABAS;DDI;;CL;;;;RTE CANALS;82057;;520558;1873898
SEY;SEYSSES;MLD MND SZD DDI SXD SRT SEG;;CL;;;205;RTE MURET;31547;;517179;1832719
CR8;CORDES;DDI POS BOU CAB LIV MOU VIN CAM;;CL;;;;AV GRESIGNE;81069;;568790;1895992
HOX;THOUX;THO;MBR;MED;;;;VILLAGE;32444;;491733;1854082
ELT;STE EULALIE D OLT;SEU;STZ;MED;;;;LE BOURG;12219;;648683;1940463
ASP;ASPET;DDI IZA PUJ RET;;CL;;;;PRE COMMUN;31020;;474475;1780340
UST;USTOU;DDI BIE;;CL;;;;VILLAGE ;09322;;511643;1756808
VL6;VILLECOMTAL ;ZDD HAG MON CZX BET MAL;;CL;;;;PL LIBERTE;32464;;426653;1824505
PV5;PERVILLE;PER;BRC;HD;;;;MANSOU;82138;;484774;1909985
ONB;PONT DE SALARS BAGE;MIL;PSA;MED;;;;AV MILLAU;12185;;631602;1919638
MOY;MOYRAZES;DDI BEA MAD;;CL;;;;AV SEGALA;12162;;608060;1926477
KSR;CASTERA LECTOUROIS;CAL;LEC;MED;;;;AU VILLAGE;32082;;461819;1888582
GZO;PESSOULENS;PES;TOC;MED;;;;AU VILLAGE;32313;;482629;1873684
FE7;LE FEL;DDI LFE;;CL;;;;LE TOURNADOU;12093;;615419;1964410
DGD;STE RADEGONDE;RAD;FLE;MED;;;;BOUBEE;32405;;459632;1873419
CPN;CRESPIN;DDI;;CL;;;;LE BOURG;12085;;595085;1906639
BZN;BEZONNES;DDI LAN ROD;;CL;;;;BEZONNES;12201;;623010;1939612
TND;CASTAGNEDE;CAS;SDS;HD;;;;LE VILLAGE;31112;;489207;1784448
SGG;SENGOUAGNET;DDI MIL;;CL;;;;VILLAGE;31544;;473502;1777006
PTJ;PONTEJAC;PON;PTK;MED;;;;PONTEJAC;32447;;475268;1840661
RB6;ROQUEBRUNE;ZDD BEL CAZ;;CL;;;;VILLAGE;32346;;433070;1856300
NEZ;ARNE;ARN;GAU;HD;;;;VILLAGE;65028;;450902;1800124
COX;COX;DDI BRI CAB KJD;;CL;;;;RUE METIERS;31156;;495642;1862927
GIR;GIROUSSENS;DDI BOR ANA LIE SJE;;CL;;;;BOURG;81104;;554829;1862474
LIS;LISLE SUR TARN;DDI TAU ECO GEN REP SAU FAR RIV;;CL;;;3;PL LARMASSE;81145;;557455;1872692
KST;CASTILLON SAVES;CAS;END;MED;;;;VILLAGE;32090;;490721;1841743
ELV;CALMELS LE VIALA;DDI;;CL;;;;LE BOURG;12042;;633416;1882758
DFO;DUFFORT;DUF;MTA;MED;;;;VILLAGE;32116;;444293;1817263
YMP;SAINT SYMPHORIEN DE THENIERES;SSY;LAG;HD;;;;LE BOURG;12250;;631119;1970687
YLZ;PUYLAUSIC;PUY;LOM;MED;;;;CUGETS;32336;;486333;1827874
DEY;DEYME;DEY CAC DRN MON;C2S;HD;;;;RTE MONTBRUN;31161;;534330;1831267
UDE;MENUDE;DRD M01 C2M ZDD MDU;;CL;;;;RUE PIERRE ET MARIE CURIE;31424;;515622;1843767
U2R;NRA ZO CARLUS;CLS;JOF;ZO;;;;BOURG;81059;;581661;1876238
PTK;AURIMONT;PON BED ZDD;;CL;;;;VILLAGE;32018;;477464;1842522
RPR;RIEUPEYROUX RIVIERES;RIV;RYX;MED;;;;RIVIERES;12198;;594031;1926558
VIV;VILLENEUVE SUR VERE;DDI CRO;;CL;;;;BOURG;81319;;575432;1889063
IGG;SAINT GREGOIRE;GRE;JUE;HD;;;;BOURG;81253;;593935;1884441
ACL;AUCAMVILLE 82;DDI GRE;;CL;;;2;RTE BEAUMONT;82005;;509566;1867518
ENC;ENCAUSSE LES THERMES;PAY REG SOU DDI SAR;;CL;;;;LE VILLAGE;31167;;469610;1784184
ONE;EAUNES;WGD;LGD;HD;;;;RTE VILLATE;31165;;521178;1827204
RAB;RABASTENS;DDI COO COU CRO SAL TOU LOU GEN RIV BOU GIE SAU PLA;;CL;;;;RUE BARRIERE DE LA SANTE;81220;;550726;1869441
L9N;ST LEON;XDD NOU;;CL;;;;VILLAGE;31495;;537105;1822274
KTL;CASTELNAU SUR L AUVIGNON;AUV;CON;MED;AUV/R2;AUV/maul6581 CREATION NRAMED KTL EN COURS;;BIDON;32080;;448589;1888381
