Centre;libelle;zones;CentreOrigine;typeNRA;BlocageR2;InfoR2;Numero;Rue;CodePostal;IlotRepHab;CoordGPS-Lambert2-COX;CoordGPS-Lambert2-COY
RAG;GRAGNAGUE;XGR BEL GRA ADO;CTM;HD;;;;AV PLATANES;31228;;538917;1853784
CAD;CADALEN;DDI TEC;;CL;;;;LA VIGUERIE;81046;;571077;1872086
SFY;STE FOY D'AIGREFEUILLE;XDD BRU CAS PRE XVS;;CL;;;;PL MAIRIE;31480;;541199;1838074
MRD;MIRADOUX;ZDD GIM CAR NIC;;CL;;;;EN VILLE;32253;;473218;1889818
OOA;POLASTRON;POL;BZE;MED;;;;LE VILLAGE;32321;;478675;1838692
NGN;LANNEMAIGNAN;LAN;MD8;MED;;;;A BELLEVUE;32189;;396477;1881250
MPX;MOUNES PROHENCOUX;DDI COU;;CL;;;;MOUNES;12192;;641659;1865172
SYB;ST YBARS;DDI STY CAD;;CL;;;;VILLAGE;09277;;522314;1803887
LKH;LIVINHAC LE HAUT;LIV;BOI;MED;;;;PL QUATORZE JUIN;12130;;591648;1954459
4AC;CASTAGNAC;MAR MAS CAS;;CL;;;;VILLAGE;09277;;520086;1803374
BKF;BLANQUEFORT;BLA;AUB;MED;;;;LA CROIX;32056;;476321;1853312
TOC;TOURNECOUPE;ZDD GAU CAS PES EAC BIV;;CL;;;;EN VILLE;32452;;477591;1874583
SJ2;ST JEAN DE LAUR;DDI GAY PUY;;CL;;;;JANAL HAUT;46270;;560481;1935502
PEB;PRAT-BONREPAUX;DDI BON LAC REP CAZ;;CL;;;;RUE NATIONALE;09235;;492979;1781925
GZY;GAZAUPOUY;GAZ;LIG;MED;;;;AU VILLAGE;32143;;449584;1892095
ENK;ENCAUSSE;ENC;MBR;MED;;;;VILLAGE;32120;;494663;1856014
ZEE;LAREE;LAR;C3Z;MED;;;;VILLAGE;32193;;407742;1881410
TNN;ST ANTONIN 32;ANT;MVZ;MED;;;;NAUGE;32359;;477770;1859742
RT3;BEAUFORT;YBD;RIE;HD;;;;VILLAGE;31051;;500680;1829336
PEC;PECHBONNIEU;XDD XAT XOR XEG MBR SLC ATZ BTD PCL DDA XCB;;CL;;;11;RTE BESSIERES;31410;;529768;1856211
PUJ;PUJAUDRAN ;ARR ZDD TEL ROU;;CL;;;;VILLAGE;32334;;504010;1843993
CAG;CAGNAC;DDI CAM GAM HOM TAI;;CL;;;32;AV JEAN JAURES;81048;;584324;1887114
CRE;CRESSENSAC;DDI BAT GAR;;CL;;;;LE BOURG;46083;;535351;2002472
SGR;ST-GIRONS;DDI BEA HOP JAU LED MON PAS SIE STL VIL MAR GEN LYC FOI RES;;CL;;;;RTE FOIX;09261;;502986;1777006
ACU;AUSSAC;AUS;MAR;HD;;;;BOURG;81020;;576161;1873797
VLB;VILLEBRUMIER;NOH DDI;;CL;;;53;RTE MONCLAR;82194;;529139;1878891
FTS;FONTENILLES;DDI FLO NBD NBA NCD NED FTA;;CL;;;;RUE 8 MAI 1945;31188;;507484;1840119
RQR;ROQUECOR;DDI SJU GCA LDV SAM VAL OUI;;CL;;;;MOULIN;82151;;488458;1925563
CAH;CAHORS;DDI LUC BRI VAL GAM AUG JOF BLA ECO GEO HLM HUG CLE WIL LRM FEN SEG LAC LMA HER LAR ESC BEY GRA STV LAB FON JAU LAE STC ZOL BRT GEN CRO ENG MON GAR FOC PRD LIB ROC CGE DIA BEL OEU;;CAA;;;24;AV CHARLES DE FREYCINET;46042;;528372;1939342
MQR;MONTSEGUR;MON;LLN;HD;;;;RUE DU VILLAGE;09211;;558483;1763379
MBA;MAULEON BA;CAZ ZDD GEM FER;;CL;;;;VILLAGE;65305;;455497;1774717
SHI;ST HIPPOLYTE;DDI PON ART;;CL;;;;LE BOURG;12226;;619559;1968191
RRI;FERRIERES;FER;BRA;HD;;;;BOURG;81091;;609158;1851162
ONO;ORNOLAC USSAT;ORN;TAR;MED;;;;RUE THERMES;09221;;541750;1757787
OMY;POUSTHOMY;POU;SSE;MED;;;;LE BOURG;12186;;620703;1872846
TOF;TOUFFAILLES;DDI VIL;;CL;;;;TUQUE DE ST GERVAIS;82182;;497366;1921665
RQS;ROQUESERIERE;XDD XMT XAZ;;CL;;;;VILLAGE;31459;;543607;1859306
NGS;NAGES;DDI GOU VIL;;CL;;;;LE LAOUZAS;81193;;635113;1850302
KDO;CONDOM D AUBRAC;CON;SCH;HD;;;;LE BOURG;12074;;642939;1956589
BM6;BEAUMONT;ZDD LRQ;;CL;;;;PERBOSCQ;32290;;434226;1885482
XGU;BEGOUX;BEG;CAH;HD;;;;RTE VILLEFRANCHE;46042;;531180;1940588
MAL;MALEVILLE;DDI BRA MAR FRA MAU;;CL;;;;LE BOURG;12136;;581196;1933386
FTU;FONTANES DU CAUSSE;FON LUN;LBM;HD;;;;LE BOURG;46110;;546435;1962903
S8C;SAVIGNAC;GLE DDI;;CL;;;;LE BOURG;12263;;570409;1928687
RQT;ROQUETTES;TWA TPY TQA TQB TQD TWB TWD;;CL;;;;RUE PYRENEES;31460;;521903;1833123
RAM;RAMONVILLE;XDD AUZ COT DOR XEG XER XFL XGV HCT XJO XLF LAU MAR XMI PAR XRG XZA XZC MAA CNA TOL RCL RTH XZE RAC RFM ADP AGR ARE BOI SUD XNF XNG;;CL;;;123;AV TOLOSANE;31446;RAM;530685;1837745
VLD;VALDURENQUE;DDI;;CL;;;;BOURG;81307;;597881;1840653
CAJ;CAJARC;DDI AND SAL CAD PRA MTB;;CL;;;;AV GARE;46045;;560834;1942820
M32;MAUROUX 32;MRX;ST8;MED;;;;AU VILLAGE;32248;;477994;1879682
AVA;AVAJAN;CIM ZDD PEY;;CL;;;;QUA CAP DE POUNT;65050;;442185;1762053
ADN;PONT DE L ARN;MOL;MAZ;HD;;;;LA MOLE;81209;;605595;1836652
PEG;PEGUILHAN;DDI PEG RAT LUN;;CL;;;;RTE NATIONALE 632;31412;;465835;1814568
MRJ;MONTREJEAU;DDI TRI CAP AUS GEN REP GOU LYC BAZ TOU PON HUO POR TIL CUG ZAE;;CL;;;34;AV SAINT. GAUDENS;31390;;456241;1788671
BLA;BLAGNAC;BDD BDG BCD BED BFD BGD BHD BJD BKD BLD BMD BPD BRD BSD BUD BOD BND BVD BQD BAD BCT;;CL;;;80;RTE DE GRENADE;31069;;523654;1848394
IGS;SAINT IGEST;SIG;VVE;HD;;;;LE BOURG;12227;;580043;1937567
CBA;CASTELNAU BARBARENS;ZDD QUI;;CL;;;;EN VILLE;32076;;469568;1842722
MT6;ST MONT;ZDD LEL COR LAB;;CL;;;;AU CATALAN;32398;;399700;1852974
RBD;BORDERES;BOR ECH PIC BUS;ALA;HD;;;4B;RUE PIERRE SEMARD;65100;;414150;1808853
JOF;JOFFRE;DDI BEL BIT BOU BOY CAR CAS CAT CLA FIN FON GAM GES HAL HOP LAR LAS MAL MIS PAT PRI RAN RAY REP TEY VAL VER VID VIG MAR JUI POU FOI BRO MIL AND TAS GAR GAU BRU CRO SSA PAV HYP;;CAA;;;17;RUE CIRON;81004;RJO;584247;1880249
KTX;CASTEX;CEX;MIE;MED;;;;VILLAGE;32086;;435507;1822947
AVB;AVERON BERGELLE;AVE;AIG;MED;;;;VILLAGE;32022;;416485;1863984
AUL;AULUS;DDI;;CL;;;;LE VILLAGE;09029;;518027;1754721
RRL;ST CLAR DE RIVIERE;7UD;LBT;HD;;;;PL VILLAGE;31475;;509190;1829940
RAO;MIRAMONT LATOUR;MIR;MSG;MED;;;;VILLAGE;32255;;466792;1864981
RD1;LAVARDENS;LAV;JEG;MED;;;;EMBEGUE;32204;;453247;1863815
ADO;ARBLADE LE HAUT;ARB;NOG;MED;;;;VILLAGE;32005;;406686;1862635
CAL;CALMONT;IDD IGD IPD;;CL;;;5;AV NAILLOUX;31100;;542743;1809753
MT7;MONTIES;ZDD MEI SER MON;;CL;;;;AU VILLAGE;32287;;465110;1822190
8LA;LATOUR;LAT;FOD;HD;;;;LATOUR;12139;;655761;1874832
KTY;CASTET ARROUY;CAR;MRD;MED;;;;AU VILLAGE;32085;;470136;1887914
HRK;STE CHRISTIE MED;SAL;CHA;MED;;;;A TIRE;32369;;411208;1868450
BLC;BOULOC;XDD XVL XPR XBO XZA XVB BGT;;CL;;;;RUE ROULIART;31079;;524870;1864645
RD2;AURADE;AUR BLA;END;MED;;;;VILLAGE;32016;;496587;1841220
8KK;HURES LA PARADE TRUEL;LTR;PEY;ZO;;;;COMP DE TRUEL;48074;;673737;1911341
MT8;MONTREAL;ZDD LAU LAS;;CL;;;;LES PROMENADES;32290;;428592;1885615
AG2;ST AIGNAN;DDI CUS CAS;;CL;;;;LE BOURG;82152;;498676;1891403
CAM;CAMBON;DDI LAN VIL;;CL;;;;MAZENS;81052;;589811;1878363
LJZ;LAUJUZAN;LAU;MZA;MED;;;;VILLAGE;32202;;402568;1869999
CSA;CANET DE SALARS;DDI;;CL;;;;LE BOURG;12050;;633293;1914955
RRN;BARRAN;BAR;IDN;MED;;;;RUE 88 EME RGT INFANTERIE;32029;;447003;1847987
SID;SIDOBRE;DDI AIL BOU BRE BUI BUR CAR CRA DES DUR GLY LAG LAR LEM MAI EXP SAL SOU TOU VIL HIP DRO MAR AUD FOI BAS;;CL;;;150;AV SIDOBRE;81065;;594575;1846081
8LB;LOUBENS;LOU;SJV;ZO;;;;VILLAGE LE;09173;;534755;1782071
RBG;TREBONS SUR LA GRASSE;XTR;VIL;HD;;;;VILLAGE;31560;;550374;1827682
CT7;CANTOIN;DDI;;CL;;;;LE BOURG;12051;;637764;1981807
CAN;CASTELNAU MONTRATIER;DDI AUR MUS LAU;;CL;;;;LE BOURG;46063;;521594;1919102
IXT;ST ELIX THEUX;ELI;VIO;MED;;;;AU VILLAGE;32375;;448723;1826954
ENS;ESCOUSSENS;DDI;;CL;;;;FONTVIEILLE;81084;;590000;1833477
CT8;CASTILLON DEBATS;ZDD CAI;;CL;;;;VILLAGE;32088;;428982;1860945
NZA;SAINT NAZAIRE DE VALENTANE;SNA;BRC;HD;;;;LE BOURG;82168;;494079;1914389
PEK;ST AMANS DU PECH;SAM;RQR;HD;;;;LE BOURG;82153;;484388;1924490
PUR;PURPAN;UDD UDH UDJ UAD UBD UCD UED UFD UGD UHD UID UKD ULD UMD UND UPD UQD URD USD UTD UVD UXD U6D UD1 UUD U1D U2D U8D U9D UD2 UD3 UD4 UYD U5D UWD UOD U7D U3D UZD U4D UJD UD5 UW1 UD6 UD7 UD8 URR UD9 UFC UWB UDA USA;;CL;;;20;IMP MAUBEC;31555;RPU;524032;1845370
AVE;LAGRAVE;DDI PER RET;;CL;;;;LES HOMS;81131;;572448;1877663
MBG;MAUBOURGUET;ZDD ORM ECH VIL SOM LAB LAR LAF;;CL;;;75;IMP CASINO;65304;;413379;1832193
MRO;MAUROUX;DDI;;CL;;;;LE BOURG;46187;;497365;1940054
KUR;COURS;CUR;ZES;HD;;;;LE BOURG;46077;;536639;1947208
3LC;LUC OUEILLOUX;OUE ODS ZDD;;CL;;;10;CAMI DETH PILHAURET;65290;;424110;1797273
IZA;SAINT IZAIRE;SIZ FAV;BRO;HD;;;;LE BOURG;12228;;630908;1886095
ENT;ENTRAYGUES SUR TRUYERE;DDI TRU LOT;;CL;;;;CHE ROUSSILHE;12094;;618359;1960455
CT9;CALMONT;DDI SJU PIB;;CL;;;;LA CROIX D ESTRIBES;12043;;614356;1915860
SZC;SEBRAZAC;SEB;EST;HD;;;;LE BOURG;12265;;625494;1947228
RQZ;ROQUEFORT SUR SOULZON;LAU;ROQ;MED;;;;AV MOUSSAC LAURAS;12203;;652176;1886595
CAP;CAPITOLE;XCB XCC CCA CCE CCI XCD XCE CER XCF XCG CGD XCH CHE XCI XCK XCL CLP CMC CMK XCN XCO XCP XCR CRA XCS XCT XCU XCY CZA CZB XDD XCX CDZ CWA CWB CIB CCZ XCJ CRB CMZ CMY MLR COZ CEQ CBZ CCU CCV CCW CVA CVB CEV CHX CFU CHW CSC CSJ CEZ CRY CHT CHU CSM CLQ CNZ CHY CFA CHM CRX CAE CAL CAP CAT CSS SEB;;CAA;;;6;RUE JOHN FITZGERALD KENNEDY;31555;RCA;527900;1845238
PEL;PELACOY;DDI CRO;;CL;;;;PELACOY;46112;;531529;1951209
MQY;MONCLAR DE QUERCY;DDI BON LIA SAL BEL;;CL;;;;RUE PRIEURE;82115;;539623;1885492
MAR;MARSSAC;DDI LAB LIZ ZAG FLO TOU MAI;;CL;;;10;RUE ECOLES;81156;;575294;1879334
MRP;MIREPOIX;DDI BES COU SEN PPD SOU DUR;;CL;;;;RUE JEAN JAURES;09194;;561653;1787331
ZEO;LACAZE GOUTIMALOUS;GOL;SP5;HD;;;;LA QUINTAINE;81125;;613873;1862515
8LE;CALES;CAL;PAY;HD;;;;LE BOURG;46047;;536556;1979410
JPB;STE JULIETTE LE PIBOUL;PIB;CT9;MED;;;;LE PIBOUL;12234;;612024;1912831
MAS;MASSAT;DDI BIE BIT BOU LIR ESP POR OUR TOU;;CL;;;;AV DE L EUROPE;09182;;518778;1765725
TON;TONNAC;DDI ROU MIC MAR;;CL;;;;LA PLANE;81300;;559721;1898302
NIG;NIGRESSERRE;DDI;;CL;;;;NIGRESSERRE;12280;;628366;1986331
MSG;MONTESTRUC;ZDD GAV PRE;;CL;;;117;RTE AGEN;32286;;462488;1867257
LLJ;LELIN LAPUJOLLE;LEL;MT6;MED;;;;MONTALIOUET;32209;;400330;1858997
MAT;MONTPEZAT DE QUERCY;DDI BAR SAL MON;;CL;;;;RUE DU 11 NOVEMEBRE 1918;82131;;531119;1915626
FUS;FUSTIGNAC;DDI LUS MON;;CL;;;;LE VILLAGE;31204;;489837;1811141
PUU;PUYCORNET;DDI;;CL;;;;PRIVAT;82144;;516623;1907387
AUR;AURIGNAC;DDI BOU MON ALA;;CL;;;;RTE BOUSSENS;31028;;482128;1802759
FEL;FELZINS;DDI VIL STJ MTR LEN CUZ;;CL;;;;LE TAYRAC;46101;;583966;1957000
RAU;ESPERAUSSES;DDI;;CL;;;;BOURG;81086;;616012;1854543
CAR;CARMAUX;DDI ABA BEL BOI BLA FON GAM GOU JAU KEN LAN LAT MAL OUL PAI PON POS PIS ROS SBE SJE TOU VER GAR LAB LAU CAN BAS SAN;;CL;;;2;BD DENFERT ROCHEREAU;81060;;585730;1893868
PEN;PENNE;DDI;;CL;;;;LE BOURG;81206;;551699;1897305
LMA;MASNAU-MASSUGUIES LE;DDI VIL MON PAU CAR;;CL;;;;LE MASNAU;81158;;617265;1866697
MAU;MAUSSAC;THE DDI ARQ;;CL;;;;MOUSSAC;46120;;515268;1956892
JON;JONQUIERES;DDI BRA;;CL;;;;BOURG;81109;;583048;1849666
AUS;AUSSONNE;ADD AAD ACD AED AFD AGD;;CL;;;69;RUE SALUT;31032;;517531;1853765
AVI;AVIGNONET;XMA XDD ASF;;CL;;;;CHE PORTE DE CERS;31037;;555180;1818537
Y09;ST LARY 09;STL;ORG;MED;;;;VILLAGE;09267;;480869;1769250
PVL;PRATVIEL;DDI SAL CIE ANT;;CL;;;;SARRAT DE LANE;31524;;458035;1760910
ONY;MONGAUSY;MTM;ST6;MED;;;;SENSAS;32270;;478239;1833730
VLM;VILLEMUR;XDD XVR XPK XEX PSX PSY PSZ PKZ;;CL;;;;RUE COTE.;31584;;533538;1873687
CAS;CASTELSARRASIN;DDI BAN REV BRU BLU CAS CON DUC GAN HIP LAV LIB GAS TOU VIG SBE MEN;;CL;;;;FLEURY;82033;;500575;1896455
MRS;MURASSON;DDI;;CL;;;;LE BOURG;12163;;634597;1862151
MAV;MONTCLAR;DDI;;CL;;;;LE BOURG;12149;;624489;1885090
MD8;MAULEON AC;ZDD MLE;;CL;;;;VILLAGE;32243;;399866;1881062
EON;ST PANTALEON;DDI PAN;;CL;;;;LE BOURG;46285;;514632;1930173
AUT;AUTERIVE;ODD ODB OAD OLD OVE;;CL;;;29;RTE TOULOUSE;31033;;529502;1817245
CAT;CATUS;DDI MGY;;CL;;;;LE BOURG;46064;;520533;1950925
RRT;SAINT PIERRE TOIRAC;PIT;FYC;HD;;;;LE BOURG;46289;;569633;1947233
R2F;NRA ZO ROUFFIAC;ROU;JOF;ZO;;;;BOURG;81232;;578422;1875691
FEN;FENOUILLET;XBI XEG XSP XRI XLA XFE XDD GCF XAL XAU XGE XCH;;CL;;;2;RUE LA LAQUE;31182;;523739;1853645
ER1;CABRERETS;CAB;TFU;HD;;;;LE BOURG;46040;;545791;1945200
BLK;ST BLANCARD;BAC;MMT;MED;;;;AU VILLAGE;32365;;463344;1817216
ZES;LAUZES;DDI SAB SMV CER SSV;;CL;;;;LE BOURG;46162;;539811;1952365
RAX;BARS;BAR;MSL;MED;;;;LE VILLAGE;32030;;435035;1836614
8LI;MOLIERES;MOL;LEY;HD;;;;LE BOURG;46195;;568203;1977092
RTA;ST MARTIAL;DDI BEL;;CL;;;;RTE ST MARTIAL;82121;;526754;1888505
MRT;MIREMONT;DDI OGD OFD;;CL;;;;RUE PYRENEES;31345;;525509;1818892
CAU;CAUSSADE;DDI BEN JAU MLS PAS PAR ROL ZIN REY GRI RAT GRA LUG CAR DES;;CL;;;23;AV DELATTRE DE TASSIGNY;82037;;536372;1907269
OPH;SAINT CHRISTOPHE;CHR;MDL;HD;;;;BOURG;81245;;576835;1905782
MTA;MONTAUT;ZDD BAR AUR DUF;;CL;;;;AU VILLAGE;32278;;444472;1823290
JPG;S J POUTGE;ZDD PLE;;CL;;;;AU VILLAGE SUD;32382;;441968;1860107
HSJ;HOPITAL SAINT JEAN;DDI SAR;;CL;;;;L HOPITAL ST JEAN;46298;;539814;2002308
CD8;CAMPAGNE D ARMAGNAC;ZDD AYZ CUT REA ORM;;CL;;;;AU VILLAGE;32073;;412209;1876415
CAV;CAVALERIE LA;DDI LAP;;CL;;;21;RUE GRAND CHEMIN;12063;;665693;1889952
AUV;AUREVILLE;8AD DDI 8RD 8CD 8ED 8LD;;CL;;;;ROUTE DE LACROIX FALGARDE;31025;;528122;1831992
SJB;ST JEAN DU BRUEL;DDI;;CL;;;;RTE NANT;12231;;681698;1891954
RRV;VERRIERES;VER;AGU;HD;;;;LE CASTEL;12291;;657784;1911394
PUY;PUY L'EVEQUE;DDI BRG MTG PNT GRE BVD GEN;;CL;;;;RUE COLLEGE;46231;;504893;1945725
RBO;LORP RIEU BOUSSUT;LOR;SGR;MED;;;;PL RIEU BOUSSUT;09289;;500704;1779159
MBN;MONTBRUN LAURAGAIS;XMB CRC XDD XES;;CL;;;;RTE CORRONSAC;31366;;533264;1828993
LLN;LAVELANET;DDI AIG BEN CHA DRE ESP MIS MON PYR RAI SJA SOU VIL ROU LES LEC JAC;;CL;;;4;RUE CENTRAL TELEPHONIQUE;09160;;559902;1769887
RAY;RAYSSAC;DDI MON;;CL;;;;LA TIBARIE;81221;;607301;1866007
MTB;MONTBRUN;DDI;;CL;;;;VILLAGE;31365;;512605;1792258
MSL;MONCLAR;ZDD BAR POU;;CL;;;;BORDENEUVE;32265;;437823;1838706
MRV;MERVILLE;DDI AGD AMA AMB AME MOU APO AMH XLA XLR;;CL;;;;RUE EMILE POUVILLON;31341;;516178;1858193
CU6;COURRENSAN;ZDD;;CL;;;;VILLAGE;32110;;431565;1874161
JOR;ST JORY;XDD SJS XJO XCA JOA SJP SJN SJL XEC XPE;;CL;;;;PL REPUBLIQUE;31490;;522052;1860619
AFF;ST AFFRIQUE LES MONTAGNES;DDI;;CL;;;;RTE REVEL;81235;;589534;1837221
8MA;COLOMBIES LIMAYRAC;LIM;CB9;HD;;;;LIMAYRAC;12068;;601974;1925079
SIM;ST SIMON;3DD 3AD 3BD 3CD 3ED 3FD 3GD 3VE 3TI DIA 3TT;;CL;;;27;RUE CIMETIERE ST SIMON;31555;;522725;1839940
BLN;BOULIN;POU GEN SAB ZDD HOU;;CL;;;14;RUE TOUR D'OLEAC;65104;;420900;1808630
LMF;BELMONT STE FOI;BEM;LAL;HD;;;;LE BOURG;46026;;543589;1920435
CTA;CASTELNAU D'AUZAN;ZDD ARC HOU LAB ARQ;;CL;;;;A HEZAS;32079;;419654;1885323
CRU;CRUEJOULS;DDI;;CL;;;;LE BOURG;12087;;641356;1938684
CE0;BLAGNAC 6DURAN/CE0 TEST DSLAM;000;;CL;;;4;RUE ESCADRILLE LAFAYETTE;31069;;522479;1848563
UVR;LA COUVERTOIRADE;CAZ COU;NAN;HD;;;;CAZEJOURDES;12082;;678371;1882907
SJD;ST JEAN D'ALCAS;DDI SJA;;CL;;;;ST JEAN D ALCAS;12232;;653392;1880867
8LL;ST LAURENT LOLMIE;LOL PAI STL;MCU;HD;;;;CAPMASSES;46274;;511453;1921841
CBN;CARBONNE;DDI BOR BRI FER GUI PRA SIC MAR LAC QUI BON HUG;;CL;;;6;RUE VICTOR HUGO;31107;;509581;1811241
MAZ;MAZAMET;DDI AUG BER BON CHE CRO DEP EST FIN FOC GAM GEN GUI IND JON LAN MAY NEG PAI SPO PAY PON POU REP RIG ROU ALB EXU SOU TAS USI VAN AIG BAR;;CL;;;;RUE JEAN ASSEMAT;81163;;603131;1832495
VLR;VILLARIES;XDD XGA XMJ XMO XLN XVC BZU;;CL;;;;RTE DE VACQUIERS;31579;;531821;1861759
PET;PAULINET;DDI JEA;;CL;;;;BOURG;81203;;607581;1871971
TOU;TOURNEFEUILLE;PDD PAD PBD PCD PED PFD PGD PHD PID PJD PKD PND PLD PMD PCA PCE POD PFA PBA PLA PPD PMM PIM PRM;;CL;;;4;RUE ALPHONSE DAUDET;31557;;520376;1843245
MSN;MANSAN;ZDD SSE SEN LES LAC ESC CAT;;CL;;;;VILLAGE;65297;;425816;1817610
LLQ;VILLESEQUE;VIL;SAU;HD;;;;LE BOURG;46335;;518637;1932821
LMG;LAMAGDELAINE;DDI SAV;;CL;;;;LE BOURG;46149;;532258;1941093
HE2;CAHORS ST HENRI;HEN BOU;CAH;HD;;;;ST HENRI;46042;;528334;1944397
CAY;CAYLUS;DDI SPI LEB LAC ZAC;;CL;;;;AV GEN DELESTRAINT;82038;;554966;1915295
TR8;TREBONS;ZDD ATG GER;;CL;;;;RTE NEUILH;65451;;416838;1789797
RV1;TREVIEN;TRE;GUR;HD;;;;LAMALATERRIE;81304;;581780;1900938
8LM;LE MARGNE;LAG;BRA;HD;;;;LAGRANGE;81153;;621400;1848997
8MC;MERCENAC;MEC;PEB;ZO;;;;VILLAGE;09187;;497196;1782789
MBQ;MONBEQUI;DDI;;CL;;;138;AVE TOULOUSE;82114;;511826;1877312
CBO;CASSAGNES BEGONHES;DDI BOU AUR BEG POS;;CL;;;;LE FOIRAIL;12057;;615764;1907729
NIO;NIAUX;NIA;TAR;MED;;;;VILLAGE;09217;;538911;1757119
P81;LES PORTES DU TARN;PLA;;CL;;;;AV TERRES NOIRES;81271;;546220;1863230
MSO;MANSONVILLE;DDI;;CL;;;;LA FONTAINE HAUTE;82102;;480062;1891583
CAZ;CAZERES;DDI BOR COU CRO MAU PAL PAS PES EAU;;CL;;;3;RUE JEANNE PENENT;31135;;497858;1801191
MBR;MONBRUN;GER ZDD;;CL;;;;AU VILLAGE;32262;;493998;1852106
AUZ;AUZITS;DDI;;CL;;;;L HOPITAL;12016;;599025;1945372
UGC;CERAN;CER;UGN;MED;;;;VILLAGE;32101;;467796;1869450
8MD;MONTGAILLARD LAURAGAIS;MOG BEL;VIL;HD;;;;LE VILLAGE;31377;;548204;1825656
8LN;LERAN;LER;LQM;ZO;;;;LA VILLE;09161;;565190;1776297
MCH;MONTECH;DDI BAR LEG CAN BOU FEU;;CL;;;;RUE COLLEGE;82125;;511209;1884596
SJF;ST-J-FALGA;DDI BEN BLV JOU VER MAR;;CL;;;6;PL SEMALIER;09265;;542137;1787482
MCI;MANCIET;ZDD CRA SAU JAL;;CL;;;;RTE VIC;32227;;415539;1869222
RTG;ARTIGUE;ZDD;PVL;HD;;;;LE VILLAGE;31019;;460077;1760108
PY6;PEYRAGUDE;ZDD HOT HPE BSO FOR HPY SER VAL;;CL;;;;STATION PEYRAGUDE;65199;;444993;1756010
BMG;BEAUMONT DE LOMAGNE;DDI GRE FOC AUC LAV GIM COQ;;CL;;;33;RUE PINTOIS;82013;;491550;1876782
R2N;NRA ZO RONEL;RON;REA;ZO;;;;MAS DE RONEL;81226;;591000;1868060
MBT;MONTBETON;DDI PAI CRE LSP RET MAI LAN PIN CIM;;CL;;;;LE BOURG;82124;;515590;1890686
VLV;VILLENEUVE DU PAREAGE;DDI;;CL;;;1;RUE DU SOLEIL LEVANT;09339;;543117;1794802
M2M;NRA ZO ST MARTIAL;MAR;GOY;ZO;;;;ST MARTIAL;81065;;589104;1847819
GMI;ST GERMIER MED;GER;MBR;MED;;;;AU VILLAGE;32379;;488394;1852976
EPL;ESPEDAILLAC;DDI;;CL;;;;LE CAUSSANELOU;46094;;555280;1959611
CBR;CASTELNAU DE BRASSAC;DDI SOU;;CL;;;;BOURG;81062;;614321;1852200
UGE;UGINE;UGI;LNZ;HD;;;51;RUE CITES;65258;;440259;1790854
SIR;SIRADAN;SAL ZDD;;CL;;;34;CHE DE LA CARRAOU;65427;;459779;1775261
MTG;MONTAIGUT SUR SAVE;HDD HBD;;CL;;;;RTE TOULOUSE;31356;;510655;1855248
MDA;MAS-AZIL;DDI GAB MAU SAB PRA;;CL;;;;RUE MOURET;09181;;520411;1787076
CTF;CASTELFRANC;DDI LBV MAY JUN ANG FLO;;CL;;;;LE BOURG;46062;;511388;1945226
PVV;POUVOURVILLE;LPO XDD BOU;;CL;;;;CHE CLOTASSES;31555;;528934;1839111
PEY;PEYRELEAU;DDI MOS ROZ;;CL;;;;LE BOURG;12180;;669521;1910031
R1Z;MAURENS;MAU;GIM;MED;;;;LA BOURDETTE;32247;;485079;1844584
OPP;ST ORENS POUY PETIT;ORE;CNS;MED;;;;AU VILLAGE;32400;;448132;1881412
MTI;MARTIEL;DDI MAR;;CL;;;;BESSE;12140;;566676;1930974
ME8;MERILHEU;ORI CIE UZE BET ZDD;;CL;;;17;CHE DE LA BOURDETTE;65310;;424294;1790694
BO6;BOYNE;DDI LEB;;CL;;;;BOYNE;12200;;665633;1911702
CTG;CASTELGAILLARD;DDI MAU FRA FAB RIO;;CL;;;;SAINT MARTIN;31115;;482854;1818589
8LR;FLOIRAC 46;FLI;VAY;HD;;;;LE BOURG;46106;;546149;1990788
8MH;MOUCHET;MOU;PAM;ZO;;;36;RUE 8 MAI 1945;09312;;543569;1789114
MCL;MARCILLAC-VALLON;DDI CRU GRA CAY MAI COU FIJ MAL;;CL;;;;AV PRADES;12138;;610444;1941618
MTJ;MONTJOIE-EN-COUSERANS;DDI LAR MOA;;CL;;;;AUDINAC LES BAINS;09209;;505724;1779235
CDA;CASTET-ALEU;DDI SOL ALE SSE;;CL;;;;CASTET ALEU ;09005;;511007;1767537
SL7;ST LAURENT D'OLT;DDI;;CL;;;;LE BOURG;12237;;661377;1938264
RCN;TRONCENS;TRO;MLZ;MED;;;;VILLAGE;32455;;428110;1831028
8MI;MIOLLES;MIO;ALB;HD;;;;BOURG;81167;;616929;1876419
ME9;MERIGON;MON LAS DDI STC REI;;CL;;;;MERIGON VILLAGE;09190;;506995;1787984
VLY;VALADY;DDI CLA SCH NUC BRU LMO;;CL;;;;LE BOURG;12288;;607019;1939628
ES2;ESTAL;DDI;;CL;;;;LE BOURG;46097;;567306;1990917
CDB;CASTELNAU DURBAN;DDI;;CL;;;;LE VILLAGE;09082;;518524;1778013
AGE;AGEN;DDI;;CL;;;;RTE BOUYSSOU;12001;;626716;1928651
SZS;ST ANDRE DE VEZINES;DDI VEY;;CL;;;;LE BOURG;12211;;673594;1906371
SJL;ST JULIA;NOG MOT XDD CAB CZA;;CL;;;;LE VILLAGE;31491;;564412;1832460
